x,y
3.5657,5.484
3.4744,5.4425
3.3838,5.3996
3.2939,5.3551
3.2048,5.3091
3.1165,5.2617
3.029,5.2128
2.9423,5.1624
2.8565,5.1106
2.7715,5.0574
2.6874,5.0027
2.6043,4.9466
2.5221,4.8892
2.4409,4.8304
2.3607,4.7703
2.2815,4.7088
2.2033,4.646
2.1262,4.5819
2.0502,4.5165
1.9753,4.4499
1.9015,4.382
1.8288,4.3129
1.7574,4.2426
1.6871,4.1712
1.618,4.0985
1.5501,4.0247
1.4835,3.9498
1.4181,3.8738
1.354,3.7967
1.2912,3.7185
1.2297,3.6393
1.1696,3.5591
1.1108,3.4779
1.0534,3.3957
0.9973,3.3126
0.9426,3.2285
0.8894,3.1435
0.8376,3.0577
0.7872,2.971
0.7383,2.8835
0.6909,2.7952
0.6449,2.7061
0.6004,2.6162
0.5575,2.5256
0.516,2.4343
0.4761,2.3423
0.4377,2.2497
0.4009,2.1564
0.3657,2.0626
0.332,1.9681
0.2999,1.8732
0.2694,1.7777
0.2405,1.6816
0.2132,1.5852
0.1875,1.4883
0.1634,1.3909
0.141,1.2932
0.1202,1.1951
0.1011,1.0967
0.0836,0.998
0.0677,0.899
